19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:36  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:36  L -> UBX CFG,  Size  10,  'Config'
19:25:37  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:37  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:37  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:37  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:37  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:37  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:37  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:37  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:37  L -> UBX CFG,  Size  10,  'Config'
19:25:38  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:38  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:38  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:38  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:38  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:38  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:38  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:38  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:39  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:39  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:39  L -> UBX CFG,  Size  10,  'Config'
19:25:39  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:39  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:39  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:39  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:39  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:40  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:40  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:40  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:40  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:40  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:40  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:40  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:40  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:40  L -> UBX CFG,  Size  10,  'Config'
19:25:41  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:41  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:41  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:41  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:41  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:41  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:41  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:41  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:41  L -> UBX CFG,  Size  10,  'Config'
19:25:42  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:42  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:42  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:42  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:42  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:42  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:42  L -> UBX CFG,  Size  10,  'Config'
19:25:43  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:43  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:43  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:43  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:43  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:43  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:43  L -> UBX CFG,  Size  10,  'Config'
19:25:44  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:44  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:44  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:44  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:44  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:44  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:44  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:44  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:44  L -> UBX CFG,  Size  10,  'Config'
19:25:45  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:45  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:45  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:45  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:45  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:45  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:45  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:45  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:45  L -> UBX CFG,  Size  10,  'Config'
19:25:46  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:46  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:46  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:46  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:46  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:46  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:46  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:46  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:46  L -> UBX CFG,  Size  10,  'Config'
19:25:47  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:47  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:47  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:47  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:47  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:47  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:47  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:47  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:47  L -> UBX CFG,  Size  10,  'Config'
19:25:48  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:48  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:48  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:48  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:48  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:48  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:48  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:48  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:48  L -> UBX CFG,  Size  10,  'Config'
19:25:49  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:49  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:49  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:49  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:49  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:49  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:49  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:49  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:50  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:50  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:50  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:50  L -> UBX CFG,  Size  10,  'Config'
19:25:50  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:50  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:50  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:50  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:50  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:51  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:51  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:51  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:51  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:51  L -> UBX CFG,  Size  10,  'Config'
19:25:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:51  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:51  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:51  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:51  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:52  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:52  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:52  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:52  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:52  L -> UBX CFG,  Size  10,  'Config'
19:25:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:52  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:52  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:52  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:52  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:53  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:53  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:53  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:53  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:53  L -> UBX CFG,  Size  10,  'Config'
19:25:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:53  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:53  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:53  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:53  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:54  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:54  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:54  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:54  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:54  L -> UBX CFG,  Size  10,  'Config'
19:25:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:54  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:54  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:54  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:54  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:55  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:55  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:55  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:55  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:55  L -> UBX CFG,  Size  10,  'Config'
19:25:55  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:55  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:55  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:55  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:56  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:56  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:56  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:56  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:56  L -> UBX CFG,  Size  10,  'Config'
19:25:56  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:56  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:56  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:57  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:57  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:57  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:57  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:57  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:57  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:57  L -> UBX CFG,  Size  10,  'Config'
19:25:58  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:58  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:58  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:58  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:58  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:58  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:58  L -> UBX CFG,  Size  10,  'Config'
19:25:59  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:59  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:59  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:59  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:59  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:59  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:59  L -> UBX CFG,  Size  10,  'Config'
19:26:00  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:00  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:00  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:00  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:00  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:00  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:00  L -> UBX CFG,  Size  10,  'Config'
19:26:01  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:01  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:01  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:01  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:01  L -> UBX CFG,  Size  10,  'Config'
19:26:02  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:02  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:02  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:02  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:02  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:02  L -> UBX CFG,  Size  10,  'Config'
19:26:03  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:03  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:03  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:03  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:03  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:04  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:04  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:04  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:04  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:04  L -> UBX CFG,  Size  10,  'Config'
19:26:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:05  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:05  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:05  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:05  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:05  L -> UBX CFG,  Size  10,  'Config'
19:26:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:06  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:06  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:06  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:06  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:06  L -> UBX CFG,  Size  10,  'Config'
19:26:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:07  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:07  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:07  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:07  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:26:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:08  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:08  L -> UBX CFG,  Size  10,  'Config'
19:26:08  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:08  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:26:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:08  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:26:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:09  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:09  L -> UBX CFG,  Size  10,  'Config'
19:26:09  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:09  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:09  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:10  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:10  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:10  L -> UBX CFG,  Size  10,  'Config'
19:26:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:10  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:10  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:11  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:11  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:11  L -> UBX CFG,  Size  10,  'Config'
19:26:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:11  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:11  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
